icao_code,long_destination,medium_destination,short_destination,latitude,longitude,group
EDDN,0,0,0,49.498699,11.078056,C
EGVN,0,0,0,51.75,-1.58362,C
KC29,0,1,0,43.1142997741699,-89.5315017700195,C
KOJC,0,0,1,38.84759903,-94.73760223,C
SBMT,3,0,0,-23.5090999603,-46.6377983093,C
TE10,0,0,0,33.8153991699219,-98.2281036376953,C
67OR,0,0,1,45.2336997986,-122.856002808,C
KEWR,71,31,13,40.6925010681152,-74.168701171875,C
KFUL,0,0,0,33.8720016479,-117.980003357,C
KHHR,64,55,2,33.922798,-118.334999,C
SEAS,0,1,0,-0.083333298563957,-78.283332824707,C
UWUU,0,0,0,54.557498931885,55.874401092529,C
EGSS,4,0,3,51.8849983215,0.234999999404,C
KSLK,1,0,0,44.3852996826172,-74.2061996459961,C
K1H3,0,1,0,38.471583,-91.817293,C
KSAN,18,18,0,32.7336006165,-117.190002441,C
WMKP,1,1,0,5.29714012145996,100.277000427246,C
CT09,0,0,0,41.8028984069824,-72.3917007446289,C
KCOS,0,1,1,38.805801,-104.700996,C
KOWB,0,1,0,37.74010086,-87.16680145,C
KTCC,0,0,0,35.182800293,-103.602996826,C
RKSI,287,28,9,37.4691009521484,126.450996398926,C
89GE,1,0,0,33.5376014709473,-84.638801574707,C
EKCH,22,0,2,55.617900848389,12.656000137329,C
KCGF,0,1,0,41.5651016235,-81.4863967896,C
EHBK,2,0,0,50.911701,5.77014,C
KVLL,0,0,1,42.54290009,-83.17790222,C
YAMB,1,0,0,-27.6406,152.712006,C
KFLL,4,5,0,26.072599,-80.152702,C
KSDL,0,6,1,33.622898101807,-111.91100311279,C
YBMC,1,0,0,26.6033,153.091,C
25GA,2,1,1,33.6595993041992,-84.6630020141602,C
CSB3,1,0,0,45.5900001525879,-73.2386016845703,C
KRYW,0,1,0,30.4986,-97.969498,C
EGGP,0,1,1,53.3335990905762,-2.8497200012207,C
KISM,0,0,0,28.2898006439,-81.4371032715,C
TS01,0,0,1,30.7126998901367,-97.6502990722656,C
